,dataset_name,model_name,featurizer_name,featurizer_frac,depth,bit,max_depth,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,r2_score_train_true,r2_score_val_true
1556,ca_housing,figs,no_featurizer,0.7,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.8104577744671647,0.7883194296851229
1558,concrete,rf_plus,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8969516395440078,0.8985943926642262
1559,powerplant,ft_transformer,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9379972560196078,0.9388546208109908
1560,parkinsons,resnet,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.815875790088247,0.8094202583080694
1561,ca_housing,xgboost,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9217593746029684,0.8249770511410662
1563,allstate,resnet,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.4847553578116388,0.43790935522355834
1564,parkinsons,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6009001464926131,0.6019797072672592
1566,airfoil,ft_transformer,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.4935927989161858,0.40641343123636364
1568,concrete,xgboost,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9945443791223896,0.9188891502507383
1569,ca_housing,rf_plus,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6792419152472262,0.6377313820604835
1572,parkinsons,random_forest,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6897334803827335,0.6808964439874534
1574,insurance,figs,no_featurizer,0.7,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9382219883222768,0.7626519008419391
1575,powerplant,xgboost,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9822462798022942,0.9627432675883084
1577,mercedes,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.6803199331088209,0.41227546837630746
1581,miami_housing,random_forest,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8614219233159424,0.8229842416123193
1582,ca_housing,rf_plus,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6391815102663034,0.5945081444175164
1583,parkinsons,xgboost,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.97856495125099,0.891466011576189
1586,miami_housing,rf_plus,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8815969095087353,0.8539525854864933
1587,concrete,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8585520471670053,0.8767448068896206
